model,lambda,mu,servers,rho,stable,L,Lq,W,Wq,P0,Pwait,N,M,R
M/M/S,0.5,5.0,2,0.05,True,0.10025062656641605,0.0002506265664160402,0.2005012531328321,0.0005012531328320804,0.9047619047619047,0.004761904761904763,100,200,5
M/M/S,0.5,5.0,4,0.025,True,0.10000009914939732,9.914939732038842e-08,0.20000019829879465,1.9829879464077684e-07,0.9048373999458644,3.866826495495148e-06,100,200,5
M/M/S,0.5,5.0,8,0.0125,True,0.10000000000000288,2.8766421044270726e-15,0.20000000000000576,5.753284208854145e-15,0.9048374180359593,2.2725472624973873e-13,100,200,5
M/M/1,0.5,10.0,1,0.05,True,0.052631578947368425,0.002631578947368422,0.10526315789473684,0.005263157894736842,0.95,0.05,100,200,10
M/M/S,0.5,10.0,1,0.05,True,0.052631578947368425,0.002631578947368422,0.10526315789473684,0.005263157894736842,0.95,0.05,100,200,10
M/M/S,0.5,10.0,2,0.025,True,0.050031269543464665,3.126954346466542e-05,0.10006253908692933,6.253908692933085e-05,0.9512195121951219,0.0012195121951219514,100,200,10
M/M/S,0.5,10.0,4,0.0125,True,0.05000000317533723,3.1753372319277103e-09,0.10000000635067446,6.3506744638554206e-09,0.9512294238941205,2.508516413222891e-07,100,200,10
M/M/S,0.5,10.0,8,0.00625,True,0.05000000000000001,5.832443241859777e-18,0.10000000000000002,1.1664886483719553e-17,0.9512294245007141,9.273584754557045e-16,100,200,10
M/M/1,10.0,1.0,1,10.0,False,inf,inf,inf,inf,0.0,1.0,500,50,1
M/M/S,10.0,1.0,1,10.0,False,inf,inf,inf,inf,0.0,1.0,500,50,1
M/M/S,10.0,1.0,2,5.0,False,inf,inf,inf,inf,0.0,1.0,500,50,1
M/M/S,10.0,1.0,4,2.5,False,inf,inf,inf,inf,0.0,1.0,500,50,1
M/M/S,10.0,1.0,8,1.25,False,inf,inf,inf,inf,0.0,1.0,500,50,1
M/M/1,10.0,5.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,500,50,5
M/M/S,10.0,5.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,500,50,5
M/M/S,10.0,5.0,2,1.0,False,inf,inf,inf,inf,0.0,1.0,500,50,5
M/M/S,10.0,5.0,4,0.5,True,2.173913043478261,0.17391304347826086,0.2173913043478261,0.017391304347826087,0.13043478260869565,0.17391304347826086,500,50,5
M/M/S,10.0,5.0,8,0.25,True,2.000381879803332,0.00038187980333190133,0.2000381879803332,3.818798033319013e-05,0.13532865530574253,0.001145639409995704,500,50,5
M/M/1,10.0,10.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,500,50,10
M/M/S,10.0,10.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,500,50,10
M/M/S,10.0,10.0,2,0.5,True,1.3333333333333333,0.3333333333333333,0.13333333333333333,0.03333333333333333,0.3333333333333333,0.3333333333333333,500,50,10
M/M/S,10.0,10.0,4,0.25,True,1.0068027210884354,0.006802721088435374,0.10068027210884355,0.0006802721088435374,0.3673469387755102,0.02040816326530612,500,50,10
M/M/S,10.0,10.0,8,0.125,True,1.0000014896314204,1.4896314204976263e-06,0.10000014896314205,1.4896314204976262e-07,0.3678793756060938,1.0427419943483384e-05,500,50,10
M/M/1,5.0,1.0,1,5.0,False,inf,inf,inf,inf,0.0,1.0,500,100,1
M/M/S,5.0,1.0,1,5.0,False,inf,inf,inf,inf,0.0,1.0,500,100,1
M/M/S,5.0,1.0,2,2.5,False,inf,inf,inf,inf,0.0,1.0,500,100,1
M/M/S,5.0,1.0,4,1.25,False,inf,inf,inf,inf,0.0,1.0,500,100,1
M/M/S,5.0,1.0,8,0.625,True,5.278777511102928,0.27877751110292776,1.0557555022205856,0.05575550222058555,0.006474418126657946,0.16726650666175663,500,100,1
M/M/1,5.0,5.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,500,100,5
M/M/S,5.0,5.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,500,100,5
M/M/S,5.0,5.0,2,0.5,True,1.3333333333333333,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.3333333333333333,500,100,5
M/M/S,5.0,5.0,4,0.25,True,1.0068027210884354,0.006802721088435374,0.2013605442176871,0.0013605442176870747,0.3673469387755102,0.02040816326530612,500,100,5
M/M/S,5.0,5.0,8,0.125,True,1.0000014896314204,1.4896314204976263e-06,0.2000002979262841,2.9792628409952525e-07,0.3678793756060938,1.0427419943483384e-05,500,100,5
M/M/1,5.0,10.0,1,0.5,True,1.0,0.5,0.2,0.1,0.5,0.5,500,100,10
M/M/S,5.0,10.0,1,0.5,True,1.0,0.5,0.2,0.1,0.5,0.5,500,100,10
M/M/S,5.0,10.0,2,0.25,True,0.5333333333333333,0.03333333333333333,0.10666666666666667,0.006666666666666666,0.6,0.09999999999999999,500,100,10
M/M/S,5.0,10.0,4,0.125,True,0.5002578648788035,0.00025786487880350697,0.10005157297576071,5.157297576070139e-05,0.6064981949458484,0.0018050541516245488,500,100,10
M/M/S,5.0,10.0,8,0.0625,True,0.5000000041785898,4.17858975019513e-09,0.10000000083571796,8.35717950039026e-10,0.6065306594203235,6.267884625292695e-08,500,100,10
