model,servers,lambda,mu,rho,arrival_dist,service_dist,n_measured,L,Lq,W,Wq,server_utilization,N,M,R
M/M/8,8,0.5,1.0,0.0625,poisson,poisson,95000,0.49951993078562534,0.0,0.9967052631578948,0.0,0.06243999134820317,100,200,1
M/M/1,1,0.5,5.0,0.1,uniform,uniform,95000,0.10356306990380051,0.0035281502065896376,0.20724747539788593,0.007060434031353476,0.10003491969720346,100,200,5
M/M/1,1,0.5,5.0,0.1,exponential,exponential,95000,0.11148075210879439,0.011242792168377843,0.2229745962439886,0.0224869046627231,0.10023795994042184,100,200,5
M/M/1,1,0.5,5.0,0.1,poisson,poisson,95000,0.12165338561430138,0.02139725103297074,0.24297894736842104,0.042736842105263156,0.10025613458133063,100,200,5
M/M/2,2,0.5,5.0,0.05,uniform,uniform,95000,0.10020111884069291,5.018238630322822e-05,0.20046242532596775,0.00010039491557956927,0.050075468227188155,100,200,5
M/M/2,2,0.5,5.0,0.05,exponential,exponential,95000,0.10020672639285458,0.0002722487456209431,0.20064551759470142,0.0005451279813838674,0.049967238823616617,100,200,5
M/M/2,2,0.5,5.0,0.05,poisson,poisson,95000,0.09990364516146016,0.0004633456716669387,0.1997263157894737,0.0009263157894736842,0.049720149744896615,100,200,5
M/M/4,4,0.5,5.0,0.025,uniform,uniform,95000,0.09974379883765871,0.0,0.20018839835808255,0.0,0.024935949709409655,100,200,5
M/M/4,4,0.5,5.0,0.025,exponential,exponential,95000,0.09961813244051812,0.0,0.1999668158985497,0.0,0.0249045331101275,100,200,5
M/M/4,4,0.5,5.0,0.025,poisson,poisson,95000,0.09968726183280334,0.0,0.1996421052631579,0.0,0.024921815458200835,100,200,5
M/M/8,8,0.5,5.0,0.0125,uniform,uniform,95000,0.09982834466407299,0.0,0.19955171394706556,0.0,0.012478543083009762,100,200,5
M/M/8,8,0.5,5.0,0.0125,exponential,exponential,95000,0.10022830968786306,0.0,0.19982477053514888,0.0,0.012528538710981486,100,200,5
M/M/8,8,0.5,5.0,0.0125,poisson,poisson,95000,0.09972280191403697,0.0,0.19918947368421053,0.0,0.012465350239254621,100,200,5
M/M/1,1,0.5,10.0,0.05,uniform,uniform,95000,0.05086816844196549,0.0008507007557410672,0.10179591861801932,0.0017023979347419013,0.05001746768621512,100,200,10
M/M/1,1,0.5,10.0,0.05,exponential,exponential,95000,0.05276147792768727,0.002642493703320388,0.10552914307660928,0.005285297286003448,0.05011898422438298,100,200,10
M/M/1,1,0.5,10.0,0.05,poisson,poisson,95000,0.05939054726368159,0.009164980183826629,0.11862105263157895,0.018305263157894738,0.05022556707985496,100,200,10
M/M/2,2,0.5,10.0,0.025,uniform,uniform,95000,0.0500811206368491,5.633651538628388e-06,0.10019228588799184,1.1270682811683448e-05,0.025037743492655383,100,200,10
M/M/2,2,0.5,10.0,0.025,exponential,exponential,95000,0.049999618848651825,3.236846663811923e-05,0.10011500668578774,6.481187914038233e-05,0.0249836251910096,100,200,10
M/M/2,2,0.5,10.0,0.025,poisson,poisson,95000,0.04998525198044834,0.00011061014663745154,0.09989473684210526,0.00022105263157894738,0.024937320916905443,100,200,10
M/M/4,4,0.5,10.0,0.0125,uniform,uniform,95000,0.049871940829449686,0.0,0.10009419917904484,0.0,0.012467985207359467,100,200,10
M/M/4,4,0.5,10.0,0.0125,exponential,exponential,95000,0.04980910718256166,0.0,0.09998340794922703,0.0,0.012452276795645357,100,200,10
M/M/4,4,0.5,10.0,0.0125,poisson,poisson,95000,0.05093451802003102,0.0,0.10197894736842106,0.0,0.012733629505007754,100,200,10
M/M/8,8,0.5,10.0,0.00625,uniform,uniform,95000,0.049914174257514925,0.0,0.09977585697352372,0.0,0.006239271782190251,100,200,10
M/M/8,8,0.5,10.0,0.00625,exponential,exponential,95000,0.05011415583125734,0.0,0.09991238526754659,0.0,0.006264269478908216,100,200,10
M/M/8,8,0.5,10.0,0.00625,poisson,poisson,95000,0.050180533958832985,0.0,0.10021052631578947,0.0,0.006272566744854123,100,200,10
M/M/1,1,5.0,10.0,0.5,uniform,uniform,95000,0.6490604164267877,0.14888644494894188,0.1298882907168201,0.029794770033558713,0.5001739714778329,500,100,10
M/M/1,1,5.0,10.0,0.5,exponential,exponential,95000,1.0010647895985996,0.4998753302299831,0.20022485014226085,0.09998100435162038,0.5011894593686043,500,100,10
M/M/1,1,5.0,10.0,0.5,poisson,poisson,95000,5.478260869565218,4.972144256738866,1.0889052631578948,0.9883052631578947,0.5061166128263518,500,100,10
M/M/2,2,5.0,10.0,0.25,uniform,uniform,95000,0.5083167519520925,0.007563570324943548,0.10169418812455754,0.0015131729193741433,0.2503765908135678,500,100,10
M/M/2,2,5.0,10.0,0.25,exponential,exponential,95000,0.5330779461533862,0.03340648258748594,0.10673924017825656,0.006689045371594496,0.24983573178294088,500,100,10
M/M/2,2,5.0,10.0,0.25,poisson,poisson,95000,1.1835883905013194,0.6783641160949868,0.23609473684210527,0.13531578947368422,0.2526121372031662,500,100,10
M/M/4,4,5.0,10.0,0.125,uniform,uniform,95000,0.4987342157659225,1.8534402449692823e-05,0.10009791910650827,3.7199274853192995e-06,0.1246789203408659,500,100,10
M/M/4,4,5.0,10.0,0.125,exponential,exponential,95000,0.4983430070874641,0.00025562184679454755,0.1000347201168581,5.1312167595759955e-05,0.12452184631017281,500,100,10
M/M/4,4,5.0,10.0,0.125,poisson,poisson,95000,0.5565300084530854,0.047337278106508875,0.1108842105263158,0.009431578947368421,0.12729818258664413,500,100,10
M/M/8,8,5.0,10.0,0.0625,uniform,uniform,95000,0.49914156928180553,0.0,0.09977585697353836,0.0,0.062392696160225386,500,100,10
M/M/8,8,5.0,10.0,0.0625,exponential,exponential,95000,0.5011414694520774,0.0,0.09991238526756292,0.0,0.06264268368150991,500,100,10
M/M/8,8,5.0,10.0,0.0625,poisson,poisson,95000,0.502465143402428,5.3013836611355566e-05,0.09976842105263158,1.0526315789473684e-05,0.06280151619572709,500,100,10
M/M/1,1,2.5,5.0,0.5,uniform,uniform,95000,0.6490604164267877,0.14888644494894188,0.2597765814336402,0.059589540067117426,0.5001739714778329,500,200,5
M/M/1,1,2.5,5.0,0.5,exponential,exponential,95000,1.0010647895985996,0.4998753302299831,0.4004497002845217,0.19996200870324077,0.5011894593686043,500,200,5
M/M/1,1,2.5,5.0,0.5,poisson,poisson,95000,2.7525198031527145,2.2570593962999026,1.100978947368421,0.9028,0.4954604068528119,500,200,5
M/M/2,2,2.5,5.0,0.25,uniform,uniform,95000,0.5083167519520925,0.007563570324943548,0.20338837624911507,0.0030263458387482867,0.2503765908135678,500,200,5
M/M/2,2,2.5,5.0,0.25,exponential,exponential,95000,0.5330779461533862,0.03340648258748594,0.21347848035651312,0.013378090743188992,0.24983573178294088,500,200,5
M/M/2,2,2.5,5.0,0.25,poisson,poisson,95000,0.7916360004205657,0.29439596256965617,0.3170210526315789,0.11789473684210526,0.24862001892545474,500,200,5
M/M/4,4,2.5,5.0,0.125,uniform,uniform,95000,0.4987342157659225,1.8534402449692823e-05,0.20019583821301654,7.439854970638599e-06,0.1246789203408659,500,200,5
M/M/4,4,2.5,5.0,0.125,exponential,exponential,95000,0.4983430070874641,0.00025562184679454755,0.2000694402337162,0.00010262433519151991,0.12452184631017281,500,200,5
M/M/4,4,2.5,5.0,0.125,poisson,poisson,95000,0.516600894501447,0.0163114969744804,0.20669473684210526,0.006526315789473684,0.12507234938174164,500,200,5
M/M/8,8,2.5,5.0,0.0625,uniform,uniform,95000,0.49914156928180553,0.0,0.19955171394707671,0.0,0.062392696160225386,500,200,5
M/M/8,8,2.5,5.0,0.0625,exponential,exponential,95000,0.5011414694520774,0.0,0.19982477053512585,0.0,0.06264268368150991,500,200,5
M/M/8,8,2.5,5.0,0.0625,poisson,poisson,95000,0.49940556392169294,7.925814377427281e-05,0.19897894736842106,3.157894736842105e-05,0.06241578822223984,500,200,5
M/M/1,1,2.5,10.0,0.25,uniform,uniform,95000,0.275985540079771,0.02589835840088444,0.11045893747455304,0.010365416791292761,0.2500871816788829,500,200,10
M/M/1,1,2.5,10.0,0.25,exponential,exponential,95000,0.33485456228644606,0.08425972624794878,0.13394972392399035,0.033705878133351595,0.25059483603849547,500,200,10
M/M/1,1,2.5,10.0,0.25,poisson,poisson,95000,0.9679939384438522,0.7182421487171448,0.38998947368421055,0.28936842105263155,0.24975178972670742,500,200,10
M/M/2,2,2.5,10.0,0.125,uniform,uniform,95000,0.25123695980496846,0.0008599000404468855,0.10052507891096771,0.0003440637057882357,0.12518852988226237,500,200,10
M/M/2,2,2.5,10.0,0.125,exponential,exponential,95000,0.2540426024248675,0.004206581682666904,0.10173477702010526,0.0016845822134480123,0.12491801037110169,500,200,10
M/M/2,2,2.5,10.0,0.125,poisson,poisson,95000,0.32211841276506403,0.07497900482888936,0.1292,0.030073684210526315,0.12356970396808734,500,200,10
M/M/4,4,2.5,10.0,0.0625,uniform,uniform,95000,0.24935904929291744,1.7335603391180637e-07,0.1000942687652094,6.958618706496629e-08,0.06233971898422013,500,200,10
M/M/4,4,2.5,10.0,0.0625,exponential,exponential,95000,0.2490555111434689,1.0794475077322846e-05,0.09998774158227373,4.333633010537596e-06,0.06226117916710008,500,200,10
M/M/4,4,2.5,10.0,0.0625,poisson,poisson,95000,0.25003943839722353,0.001656412683388547,0.10010526315789474,0.0006631578947368421,0.06209575642845875,500,200,10
M/M/8,8,2.5,10.0,0.03125,uniform,uniform,95000,0.24957083277795383,0.0,0.09977585697353804,0.0,0.03119635409724418,500,200,10
M/M/8,8,2.5,10.0,0.03125,exponential,exponential,95000,0.25057075940954143,0.0,0.09991238526756842,0.0,0.03132134492619108,500,200,10
M/M/8,8,2.5,10.0,0.03125,poisson,poisson,95000,0.254730790727384,0.0,0.10074736842105263,0.0,0.031841348840923,500,200,10
M/M/1,1,5.0,10.0,0.5,uniform,uniform,95000,0.6490604164267877,0.14888644494894188,0.1298882907168201,0.029794770033558713,0.5001739714778329,1000,200,10
M/M/1,1,5.0,10.0,0.5,exponential,exponential,95000,1.0010647895985996,0.4998753302299831,0.20022485014226085,0.09998100435162038,0.5011894593686043,1000,200,10
M/M/1,1,5.0,10.0,0.5,poisson,poisson,95000,5.478260869565218,4.972144256738866,1.0889052631578948,0.9883052631578947,0.5061166128263518,1000,200,10
M/M/2,2,5.0,10.0,0.25,uniform,uniform,95000,0.5083167519520925,0.007563570324943548,0.10169418812455754,0.0015131729193741433,0.2503765908135678,1000,200,10
M/M/2,2,5.0,10.0,0.25,exponential,exponential,95000,0.5330779461533862,0.03340648258748594,0.10673924017825656,0.006689045371594496,0.24983573178294088,1000,200,10
M/M/2,2,5.0,10.0,0.25,poisson,poisson,95000,1.1835883905013194,0.6783641160949868,0.23609473684210527,0.13531578947368422,0.2526121372031662,1000,200,10
M/M/4,4,5.0,10.0,0.125,uniform,uniform,95000,0.4987342157659225,1.8534402449692823e-05,0.10009791910650827,3.7199274853192995e-06,0.1246789203408659,1000,200,10
M/M/4,4,5.0,10.0,0.125,exponential,exponential,95000,0.4983430070874641,0.00025562184679454755,0.1000347201168581,5.1312167595759955e-05,0.12452184631017281,1000,200,10
M/M/4,4,5.0,10.0,0.125,poisson,poisson,95000,0.5565300084530854,0.047337278106508875,0.1108842105263158,0.009431578947368421,0.12729818258664413,1000,200,10
M/M/8,8,5.0,10.0,0.0625,uniform,uniform,95000,0.49914156928180553,0.0,0.09977585697353836,0.0,0.062392696160225386,1000,200,10
M/M/8,8,5.0,10.0,0.0625,exponential,exponential,95000,0.5011414694520774,0.0,0.09991238526756292,0.0,0.06264268368150991,1000,200,10
M/M/8,8,5.0,10.0,0.0625,poisson,poisson,95000,0.502465143402428,5.3013836611355566e-05,0.09976842105263158,1.0526315789473684e-05,0.06280151619572709,1000,200,10
