variant,Q1,Q2,L1,L2,L3,T,N,M,trials,arrival_dist,n_completed,throughput,turnaround_mean,waiting_mean,response_mean,turnaround_p95,waiting_p95,makespan,context_switches
B,6,8,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,97097.3959247436,96591.7715247436,4561.083484743597,230860.1034986132,230004.73885076452,252812.41298856243,17994.94
B,2,16,40,50,10,50,500,100.0,100,uniform,500.0,0.001979054402382489,97976.8379647436,97471.21356474361,1169.3281447435975,230939.6577799794,230082.6149891314,252812.41298856243,50258.4
B,6,16,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,168850.87710474362,168345.2527047436,6175.834944743598,251506.25306104164,250575.98328827842,252812.41298856243,6824.26
B,2,32,40,50,10,100,500,100.0,100,uniform,500.0,0.001979054402382489,96329.7080647436,95824.08366474361,1168.6725447435974,229575.27705957764,228630.46705957764,252812.41298856243,24669.32
B,6,8,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,88686.42458474361,88180.8001847436,4561.083484743597,228773.87296411768,227825.08296411767,252812.41298856243,9829.28
B,6,16,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169960.18698474357,169454.5625847436,6039.998484743597,251876.27376226065,250932.26903175365,252812.41298856243,9692.53
B,6,8,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,89222.6961247436,88717.0717247436,3498.3943447435972,228823.30463067672,227874.22463067673,252812.41298856243,9877.15
B,6,8,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,97578.0773647436,97072.4529647436,3498.3943447435972,230965.68419531456,230115.52295659867,252812.41298856243,18011.07
B,6,16,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169693.4183847436,169187.7939847436,3496.6450047435974,251810.8118496593,250866.0155467423,252812.41298856243,9867.55
B,2,32,40,50,10,50,500,100.0,100,uniform,500.0,0.001979054402382489,104079.59652474361,103573.9721247436,1168.6725447435974,231712.54013367623,230861.66631498988,252812.41298856243,47375.43
B,6,16,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,93484.3977447436,92978.77334474359,6175.834944743598,229223.41881920354,228276.49881920352,252812.41298856243,6825.27
B,6,16,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,101542.3017047436,101036.6773047436,6175.834944743598,231403.40381619614,230551.91009071775,252812.41298856243,11513.19
B,6,16,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170152.8085847436,169647.1841847436,3498.3943447435972,252069.66314531118,251120.95535668917,252812.41298856243,25806.67
B,2,48,40,50,10,100,500,100.0,100,uniform,500.0,0.001979054402382489,96607.6953447436,96102.07094474361,1168.3089447435973,229725.71771408513,228777.74771408513,252812.41298856243,24612.49
B,6,32,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,169984.7953047436,169479.1709047436,3072.9837847435974,251884.84778885831,250939.33727539127,252812.41298856243,9464.6
B,6,32,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,169984.7953047436,169479.1709047436,3072.9837847435974,251884.84778885831,250939.33727539127,252812.41298856243,9464.6
B,2,48,40,50,10,50,500,100.0,100,uniform,500.0,0.001979054402382489,104323.3349647436,103817.7105647436,1168.3089447435973,231730.39580940083,230868.8627878457,252812.41298856243,47249.03
B,6,32,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,169984.7953047436,169479.1709047436,3072.9837847435974,251884.84778885831,250939.33727539127,252812.41298856243,9464.6
B,6,32,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169641.5681647436,169135.94376474357,6177.239784743597,251786.03223369774,250845.9051838238,252812.41298856243,9618.24
B,6,16,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,90379.88020474359,89874.2558047436,6039.998484743597,228974.91993407812,228026.19993407812,252812.41298856243,9693.98
B,6,32,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,170057.3395647436,169551.7151647436,2439.3541447435973,251893.54079899646,250944.93686122049,252812.41298856243,9381.63
B,6,16,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,93267.16608474359,92761.5416847436,3496.6450047435974,229224.6674890595,228275.5574890595,252812.41298856243,9867.28
B,6,16,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,98649.05166474359,98143.4272647436,6039.998484743597,231080.75038015994,230223.39375088006,252812.41298856243,17727.47
B,6,32,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,170057.3395647436,169551.7151647436,2439.3541447435973,251893.54079899646,250944.93686122049,252812.41298856243,9381.63
B,6,32,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,170057.3395647436,169551.7151647436,2439.3541447435973,251893.54079899646,250944.93686122049,252812.41298856243,9381.63
B,6,16,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,101346.59562474358,100840.9712247436,3496.6450047435974,231370.58162256653,230518.25369094405,252812.41298856243,17680.16
B,6,48,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,169984.7953047436,169479.1709047436,3072.9837847435974,251884.84778885831,250939.33727539127,252812.41298856243,9464.6
B,6,32,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170003.4005047436,169497.7761047436,3497.7956847435976,252005.2830209506,251060.05315537154,252812.41298856243,24525.71
B,6,48,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,169984.7953047436,169479.1709047436,3072.9837847435974,251884.84778885831,250939.33727539127,252812.41298856243,9464.6
B,6,48,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,169984.7953047436,169479.1709047436,3072.9837847435974,251884.84778885831,250939.33727539127,252812.41298856243,9464.6
B,6,48,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169598.2675647436,169092.64316474358,6175.700664743597,251787.9402578242,250847.21363632265,252812.41298856243,9606.6
B,6,32,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,96748.6388247436,96243.0144247436,6177.239784743597,229673.16084412765,228728.02084412763,252812.41298856243,9618.95
B,6,48,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,170057.3395647436,169551.7151647436,2439.3541447435973,251893.54079899646,250944.93686122049,252812.41298856243,9381.63
B,6,32,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,104613.41974474359,104107.7953447436,6177.239784743597,231758.01716817688,230901.08543129772,252812.41298856243,17112.91
B,6,48,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,170057.3395647436,169551.7151647436,2439.3541447435973,251893.54079899646,250944.93686122049,252812.41298856243,9381.63
B,6,48,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,170057.3395647436,169551.7151647436,2439.3541447435973,251893.54079899646,250944.93686122049,252812.41298856243,9381.63
B,6,48,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170070.6782047436,169565.0538047436,3497.3125447435973,252058.63317701052,251109.77819797493,252812.41298856243,24463.55
B,6,48,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,97080.4993447436,96574.87494474358,6175.700664743597,229836.81365083545,228887.59365083545,252812.41298856243,9607.78
B,10,8,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,169356.5554447436,168850.93104474357,10652.770864743597,251555.54150317222,250622.42837247302,252812.41298856243,6360.67
B,6,48,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,104886.65564474359,104381.0312447436,6175.700664743597,231900.75150146752,231042.46159479817,252812.41298856243,17076.88
B,10,8,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,89421.3275647436,88915.7031647436,10652.770864743597,228852.34438559748,227903.52438559747,252812.41298856243,6361.68
B,6,8,40,50,10,100,500,100.0,100,uniform,500.0,0.001979054402382489,88860.84120474358,88355.2168047436,3425.4066847435975,228773.51026362542,227825.01026362542,252812.41298856243,26078.77
B,10,8,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,97852.75348474359,97347.1290847436,10652.770864743597,230981.3768565052,230132.81258475743,252812.41298856243,11227.46
B,10,8,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169841.82278474362,169336.1983847436,8162.7708647435975,251846.56776901375,250903.50604138034,252812.41298856243,9605.19
B,10,8,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169944.6269647436,169439.0025647436,6165.1991847435975,251868.69789150968,250919.98081481457,252812.41298856243,9735.54
B,6,8,40,50,10,50,500,100.0,100,uniform,500.0,0.001979054402382489,97158.0043247436,96652.37992474361,3425.4066847435975,230880.6186050848,230026.4931135184,252812.41298856243,50577.53
B,6,16,40,50,10,100,500,100.0,100,uniform,500.0,0.001979054402382489,90834.96664474359,90329.34224474359,3498.3943447435972,228992.5735445633,228044.0735445633,252812.41298856243,25807.6
B,10,8,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170153.5018847436,169647.8774847436,5039.807904743598,252081.54698055866,251133.00270070083,252812.41298856243,25827.76
B,6,16,40,50,10,50,500,100.0,100,uniform,500.0,0.001979054402382489,98962.83366474361,98457.2092647436,3498.3943447435972,231114.8526785915,230265.25341303207,252812.41298856243,49875.13
B,6,32,40,50,10,100,500,100.0,100,uniform,500.0,0.001979054402382489,97350.4388047436,96844.81440474359,3497.7956847435976,229671.2772435925,228726.62724359252,252812.41298856243,24525.04
B,10,16,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,168695.9188047436,168190.29440474362,12402.868144743596,251493.1099815933,250564.16671977862,252812.41298856243,6622.36
B,10,8,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,89368.29406474359,88862.6696647436,8162.7708647435975,228851.9521075103,227903.1221075103,252812.41298856243,9606.23
B,10,8,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,97750.4443647436,97244.8199647436,8162.7708647435975,230979.71372784732,230129.30875469942,252812.41298856243,17716.32
B,10,16,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169797.6620047436,169292.0376047436,10129.810664743598,251844.55028968965,250903.63064867654,252812.41298856243,9469.42
B,6,32,40,50,10,50,500,100.0,100,uniform,500.0,0.001979054402382489,105022.13088474359,104516.5064847436,3497.7956847435976,231785.36496617616,230934.90526875618,252812.41298856243,47009.45
B,10,8,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,98202.73776474361,97697.11336474359,6165.1991847435975,231056.74906420018,230215.9655895366,252812.41298856243,17815.48
B,10,16,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169659.78854474358,169154.1641447436,6163.814304743598,251816.58119951544,250877.1053256396,252812.41298856243,9726.44
B,10,8,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,89899.3836447436,89393.7592447436,6165.1991847435975,228898.74259507481,227949.65259507482,252812.41298856243,9736.37
B,10,16,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,94055.8834247436,93550.2590247436,12402.868144743596,229333.27899735206,228382.93899735206,252812.41298856243,6623.32
B,10,16,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,102103.03098474359,101597.4065847436,12402.868144743596,231500.62434848052,230651.51560148105,252812.41298856243,11278.69
B,10,16,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170137.5802047436,169631.95580474357,6165.308304743597,252084.1813721612,251135.63778377138,252812.41298856243,25557.01
B,6,48,40,50,10,100,500,100.0,100,uniform,500.0,0.001979054402382489,97689.86394474359,97184.2395447436,3497.3125447435973,229840.1654507578,228891.7254507578,252812.41298856243,24464.28
B,10,32,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,169862.8330247436,169357.2086247436,6180.3281447435975,251849.3651360162,250905.70222843453,252812.41298856243,9242.27
B,10,32,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,169862.8330247436,169357.2086247436,6180.3281447435975,251849.3651360162,250905.70222843453,252812.41298856243,9242.27
B,6,48,40,50,10,50,500,100.0,100,uniform,500.0,0.001979054402382489,105316.5683247436,104810.9439247436,3497.3125447435973,231806.13897465475,230932.85355950982,252812.41298856243,46873.63
B,10,32,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,169862.8330247436,169357.2086247436,6180.3281447435975,251849.3651360162,250905.70222843453,252812.41298856243,9242.27
B,10,32,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169524.8440047436,169019.21960474362,12403.565344743598,251763.3144525782,250826.822199374,252812.41298856243,9394.43
B,10,16,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,90994.8910647436,90489.2666647436,10129.810664743598,229052.49179268957,228103.66179268956,252812.41298856243,9470.91
B,10,32,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,170007.5564047436,169501.9320047436,4305.3281447435975,251864.95384608008,250915.26215492893,252812.41298856243,9242.58
B,10,16,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,94001.6964047436,93496.07200474359,6163.814304743598,229319.02823827852,228372.5382382785,252812.41298856243,9726.51
B,10,16,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,99244.52484474359,98738.9004447436,10129.810664743598,231161.7839550613,230312.89836328902,252812.41298856243,17450.49
B,10,32,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,170007.5564047436,169501.9320047436,4305.3281447435975,251864.95384608008,250915.26215492893,252812.41298856243,9242.58
B,10,16,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,102019.8580647436,101514.2336647436,6163.814304743598,231412.21318013326,230553.64004489305,252812.41298856243,17485.53
B,10,32,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,170007.5564047436,169501.9320047436,4305.3281447435975,251864.95384608008,250915.26215492893,252812.41298856243,9242.58
B,10,48,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,169862.8330247436,169357.2086247436,6180.3281447435975,251849.3651360162,250905.70222843453,252812.41298856243,9242.27
B,10,32,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170032.5534047436,169526.92900474358,6164.8627047435975,251983.83821817357,251038.38167210016,252812.41298856243,24279.57
B,10,48,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,169862.8330247436,169357.2086247436,6180.3281447435975,251849.3651360162,250905.70222843453,252812.41298856243,9242.27
B,10,48,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,169862.8330247436,169357.2086247436,6180.3281447435975,251849.3651360162,250905.70222843453,252812.41298856243,9242.27
B,10,48,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169456.7775447436,168951.15314474358,12402.250624743598,251760.36541746912,250820.31588182,252812.41298856243,9383.5
B,10,32,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,97364.7055047436,96859.08110474359,12403.565344743598,229772.77422922864,228830.01422922863,252812.41298856243,9396.25
B,10,48,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,170007.5564047436,169501.9320047436,4305.3281447435975,251864.95384608008,250915.26215492893,252812.41298856243,9242.58
B,10,32,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,105177.4167447436,104671.79234474359,12403.565344743598,231922.83983488445,231064.35650970266,252812.41298856243,16837.88
B,10,48,40,30,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,170007.5564047436,169501.9320047436,4305.3281447435975,251864.95384608008,250915.26215492893,252812.41298856243,9242.58
B,10,48,40,30,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,170007.5564047436,169501.9320047436,4305.3281447435975,251864.95384608008,250915.26215492893,252812.41298856243,9242.58
B,10,48,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170092.00554474362,169586.3811447436,6164.238544743598,252044.69150872648,251096.0887950705,252812.41298856243,24217.56
B,10,48,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,97646.3551247436,97140.73072474361,12402.250624743598,229923.67141669124,228975.52141669125,252812.41298856243,9384.9
B,16,8,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,168708.01738474358,168202.3929847436,9687.307584743598,251519.00048163245,250586.51181358277,252812.41298856243,6749.08
B,10,48,20,50,30,50,500,100.0,100,uniform,500.0,0.001979054402382489,105447.15960474359,104941.53520474359,12402.250624743598,231956.4265965463,231090.43981874213,252812.41298856243,16801.92
B,10,8,40,50,10,100,500,100.0,100,uniform,500.0,0.001979054402382489,89585.0705847436,89079.4461847436,5039.807904743598,228852.41243370876,227903.58243370877,252812.41298856243,25828.32
B,16,8,20,30,50,50,500,100.0,100,uniform,500.0,0.001979054402382489,99966.2890247436,99460.66462474359,9687.307584743598,231194.00173835646,230335.55912092692,252812.41298856243,11519.03
B,16,8,20,30,50,100,500,100.0,100,uniform,500.0,0.001979054402382489,91759.6783447436,91254.05394474359,9687.307584743598,229101.92530087146,228153.94530087148,252812.41298856243,6750.0
B,16,8,20,50,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169646.7137447436,169141.0893447436,7196.716244743598,251797.8263278833,250859.26029854984,252812.41298856243,9927.92
B,16,8,40,30,30,0,500,100.0,100,uniform,500.0,0.001979054402382489,169893.10044474358,169387.47604474358,7092.061344743597,251841.99312388946,250896.9964517468,252812.41298856243,9679.23
B,10,8,40,50,10,50,500,100.0,100,uniform,500.0,0.001979054402382489,97826.3224447436,97320.69804474359,5039.807904743598,231003.019564358,230156.62452920576,252812.41298856243,50161.89
B,10,16,40,50,10,100,500,100.0,100,uniform,500.0,0.001979054402382489,91557.6290847436,91052.0046847436,6165.308304743597,229073.86760981998,228125.22760982,252812.41298856243,25557.58
B,16,8,40,50,10,0,500,100.0,100,uniform,500.0,0.001979054402382489,170138.8807047436,169633.25630474358,5431.522944743597,252083.83493023436,251135.66463351075,252812.41298856243,25573.85
B,10,16,40,50,10,50,500,100.0,100,uniform,500.0,0.001979054402382489,99621.50210474359,99115.87770474359,6165.308304743597,231150.0231346323,230291.50236510753,252812.41298856243,49458.62
B,16,8,20,50,30,100,500,100.0,100,uniform,500.0,0.001979054402382489,91425.4999247436,90919.87552474359,7196.716244743598,229101.744948119,228153.604948119,252812.41298856243,9928.82
B,10,32,40,50,10,100,500,100.0,100,uniform,500.0,0.001979054402382489,98085.28306474359,97579.6586647436,6164.8627047435975,229771.62469774377,228826.19469774378,252812.41298856243,24280.8
B,16,16,20,30,50,0,500,100.0,100,uniform,500.0,0.001979054402382489,168693.9108047436,168188.28640474362,10667.912284743597,251515.05568115244,250582.4622363496,252812.41298856243,6667.65
