cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,M,K,items_per_producer,producer_delay_us,consumer_delay_us,wall_time_ms,items_consumed,throughput_per_sec,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_max_us,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.07,0.13,0.01,188.0,44816,6180,0,278,9,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,2,10000,0,0,25.357,20000,788728.1,1.965,0.708,3.958,6.875,2830.855,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.06,0.11,0.02,204.0,44676,6050,0,267,8,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,2,10000,0,0,24.177,20000,827230.3,1.956,0.5,3.666,6.125,2793.189,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.07,0.17,0.02,248.0,45508,6380,0,353,35,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,4,10000,0,0,32.668,20000,612212.0,3.094,1.167,3.667,6.083,4042.115,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.07,0.17,0.02,253.0,45460,6334,0,329,27,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,4,10000,0,0,33.988,20000,588439.12,3.826,1.709,5.0,8.667,3667.653,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.07,0.14,0.02,231.0,44684,6077,0,299,27,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,4,10000,0,0,30.913,20000,646984.18,3.013,0.958,3.375,5.792,5297.0,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.07,0.14,0.03,247.0,45392,6248,0,340,39,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,8,10000,0,0,27.935,20000,715938.97,2.673,1.166,3.333,5.958,4251.366,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.08,0.21,0.01,283.0,45996,6472,0,360,64,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,8,10000,0,0,36.434,20000,548933.53,4.256,2.042,4.125,6.167,6896.054,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 2 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.08,0.15,0.01,218.0,45456,6250,0,300,44,0,64,0,2026-05-14T10:21:46,java-lockfree,1,2,8,10000,0,0,28.826,20000,693820.7,2.739,1.167,4.292,7.834,2017.849,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.08,0.18,0.02,242.0,47776,7060,0,259,29,0,64,0,2026-05-14T10:21:46,java-lockfree,1,4,1,10000,0,0,31.764,40000,1259302.19,2.284,0.792,4.167,11.875,3912.863,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumerLockFree --N 1 --M 4 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.07,0.17,0.01,265.0,47760,6895,0,299,26,0,64,0,2026-05-14T10:21:47,java-lockfree,1,4,1,10000,0,0,31.62,40000,1265032.3,2.346,0.833,3.875,9.416,3557.278,1
