cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,duration_sec,think_min_ms,think_max_ms,eat_min_ms,eat_max_ms,wall_time_ms,total_meals,meals_per_phil,wait_mean_us,wait_p50_us,wait_p95_us,wait_p99_us,wait_max_us,deadlocked,seed,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,0,5.14,0.26,0.13,7.0,44112,5975,0,1696,15,0,64,0,2026-05-14T10:28:42,java-semaphore,10,5.0,10,50,10,50,5023.01,360,"[36, 36, 39, 37, 35, 35, 34, 35, 36, 37]",74399.107,68604.475,186540.047,216093.722,250783.65,False,1,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,1,5.12,0.47,0.23,13.0,45488,6305,0,1915,29,0,64,0,2026-05-14T10:28:47,java-semaphore,10,5.0,10,50,10,50,5029.34,409,"[39, 40, 40, 41, 41, 41, 43, 42, 41, 41]",57077.116,41579.697,171844.961,212736.527,230456.349,False,1,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,0,5.11,0.43,0.18,12.0,45244,6279,0,2048,24,0,64,0,2026-05-14T10:28:52,java-semaphore,10,5.0,10,50,10,50,5026.892,455,"[43, 48, 48, 45, 44, 44, 45, 46, 45, 47]",44974.57,34302.675,116491.436,172409.759,228706.418,False,2,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,1,5.11,0.36,0.24,11.0,45036,6139,0,1865,17,0,64,0,2026-05-14T10:28:57,java-semaphore,10,5.0,10,50,10,50,5029.088,398,"[38, 42, 43, 40, 39, 39, 40, 39, 38, 40]",61434.241,55667.321,144231.638,186193.588,227004.779,False,2,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,0,5.09,0.28,0.14,8.0,45220,6172,0,1887,14,0,64,0,2026-05-14T10:29:02,java-semaphore,10,5.0,10,50,10,50,5013.843,409,"[43, 44, 41, 40, 41, 40, 40, 40, 40, 40]",58738.59,41892.617,181356.214,208319.95,250892.656,False,3,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,1,5.15,0.36,0.22,11.0,45472,6196,0,2160,20,0,64,0,2026-05-14T10:29:07,java-semaphore,10,5.0,10,50,10,50,5017.873,487,"[52, 52, 48, 47, 45, 48, 47, 49, 49, 50]",39284.108,35068.682,102274.438,132940.373,164109.23,False,3,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 20 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,0,5.12,0.3,0.25,10.0,43924,4260,0,3470,28,0,64,0,2026-05-14T10:29:12,java-semaphore,20,5.0,10,50,10,50,5031.305,851,"[41, 41, 44, 45, 43, 42, 43, 42, 41, 42, 43, 41, 40, 41, 42, 42, 47, 45, 42, 44]",53529.687,38852.466,171776.131,242200.916,277910.062,False,1,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 20 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,1,5.09,0.31,0.2,10.0,45724,6459,0,3050,21,0,64,0,2026-05-14T10:29:18,java-semaphore,20,5.0,10,50,10,50,5019.638,731,"[36, 36, 38, 38, 36, 35, 34, 35, 35, 35, 37, 38, 37, 37, 38, 37, 38, 37, 36, 38]",71975.159,49923.188,216097.229,248847.433,299872.713,False,1,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 20 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,0,5.09,0.38,0.24,12.0,46240,6518,0,3424,33,0,64,0,2026-05-14T10:29:23,java-semaphore,20,5.0,10,50,10,50,5019.927,837,"[41, 43, 44, 42, 42, 42, 41, 41, 42, 42, 41, 42, 41, 41, 41, 43, 43, 41, 42, 42]",55793.114,40006.268,157422.257,212170.529,259947.448,False,2,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 20 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,1,5.1,0.34,0.33,13.0,46172,6635,0,3109,24,0,64,0,2026-05-14T10:29:28,java-semaphore,20,5.0,10,50,10,50,5036.544,752,"[38, 40, 40, 37, 36, 36, 37, 38, 38, 36, 36, 37, 37, 38, 38, 37, 38, 37, 38, 40]",69118.431,45364.357,206042.059,255082.823,275593.711,False,2,1
